seed,rank,baseline_eligible,model_support,random_negative_pass,S1_support,S1_joint_coverage,S1_static_controls_pass,S1_failed_gates,S2_support,S2_joint_coverage,S2_static_controls_pass,S2_failed_gates,failed_gates
390991,1,True,False,True,False,0.67578125,True,JOINT_COVERAGE_BELOW_0.80,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390992,1,True,False,True,False,0.67578125,True,JOINT_COVERAGE_BELOW_0.80,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390993,1,True,False,True,False,0.66796875,True,JOINT_COVERAGE_BELOW_0.80,False,0.69140625,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390991,2,True,False,True,False,0.6796875,True,JOINT_COVERAGE_BELOW_0.80,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390992,2,True,False,True,False,0.67578125,True,JOINT_COVERAGE_BELOW_0.80,False,0.6953125,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390993,2,True,False,True,False,0.6796875,True,JOINT_COVERAGE_BELOW_0.80,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390991,4,True,False,True,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,False,0.75390625,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390992,4,True,False,True,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,False,0.70703125,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390993,4,True,False,True,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,False,0.671875,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390991,6,True,True,True,True,0.9296875,True,,True,0.9375,True,,
390992,6,True,False,True,False,0.77734375,True,JOINT_COVERAGE_BELOW_0.80,False,0.6875,True,JOINT_COVERAGE_BELOW_0.80,S1/JOINT_COVERAGE_BELOW_0.80;S2/JOINT_COVERAGE_BELOW_0.80
390993,6,True,False,True,True,0.84375,True,,False,0.546875,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
390991,8,True,True,True,True,1.0,True,,True,0.96484375,True,,
390992,8,True,False,True,True,0.85546875,True,,False,0.76171875,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
390993,8,True,False,True,True,0.8671875,True,,False,0.58203125,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
390991,12,True,True,True,True,1.0,True,,True,0.984375,True,,
390992,12,True,False,True,True,0.87109375,True,,False,0.76171875,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
390993,12,True,False,True,True,0.96484375,True,,False,0.7109375,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
390991,16,True,True,True,True,1.0,True,,True,0.98046875,True,,
390992,16,True,False,True,True,0.87109375,True,,False,0.7578125,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
390993,16,True,False,True,True,0.96484375,True,,False,0.70703125,True,JOINT_COVERAGE_BELOW_0.80,S2/JOINT_COVERAGE_BELOW_0.80
