checkpoint,stratum,gamma,summary_status,source_file,source_locator,formal_status
291402,S1,0.0,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S1;gamma=0.0,SUPPORTING_ONLY_NON_GATING
291402,S1,0.25,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S1;gamma=0.25,SUPPORTING_ONLY_NON_GATING
291402,S1,0.5,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S1;gamma=0.5,SUPPORTING_ONLY_NON_GATING
291402,S1,0.75,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S1;gamma=0.75,SUPPORTING_ONLY_NON_GATING
291402,S1,1.0,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S1;gamma=1.0,SUPPORTING_ONLY_NON_GATING
291402,S2,0.0,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S2;gamma=0.0,SUPPORTING_ONLY_NON_GATING
291402,S2,0.25,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S2;gamma=0.25,SUPPORTING_ONLY_NON_GATING
291402,S2,0.5,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S2;gamma=0.5,SUPPORTING_ONLY_NON_GATING
291402,S2,0.75,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S2;gamma=0.75,SUPPORTING_ONLY_NON_GATING
291402,S2,1.0,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291402;stratum=S2;gamma=1.0,SUPPORTING_ONLY_NON_GATING
291403,S1,0.0,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291403;stratum=S1;gamma=0.0,SUPPORTING_ONLY_NON_GATING
291403,S1,0.25,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291403;stratum=S1;gamma=0.25,SUPPORTING_ONLY_NON_GATING
291403,S1,0.5,NO_PRECOMPUTED_AGGREGATE; frozen unit-level values supplied,DOSE_PROGRESSION_UNIT_LEVEL.csv,checkpoint=291403;stratum=S1;gamma=0.5,SUPPORTING_ONLY_NON_GATING
