P_d,P_s,S_sub_gamma_CF,checkpoint,d_R_gamma_CF,gamma,stratum,unit_id
0.0,0.0,0.41807673268564655,291402,0.8875941593311782,0.0,S1,W29U_2B98D8963199CEBD39881CF3
0.041470028971916074,0.03724603575831131,0.45532276844395786,291402,0.8507856038283693,0.25,S1,W29U_2B98D8963199CEBD39881CF3
0.08215843950133035,0.06062967097909594,0.4787064036647425,291402,0.8146708082899513,0.5,S1,W29U_2B98D8963199CEBD39881CF3
0.2529552337407033,0.23732778405234262,0.6554045167379892,291402,0.6630725712904241,0.75,S1,W29U_2B98D8963199CEBD39881CF3
0.37584393951753087,0.34415427098721346,0.76223100367286,291402,0.5539972737950214,1.0,S1,W29U_2B98D8963199CEBD39881CF3
0.0,0.0,0.9754615680301215,291402,0.13007020481678808,0.0,S1,W29U_11EACAC0A69B433BE5335374
0.308088482525408,0.01199158901629882,0.9874531570464203,291402,0.08999707279270673,0.25,S1,W29U_11EACAC0A69B433BE5335374
0.5048055577743316,0.018800774138101217,0.9942623421682227,291402,0.06441004252392302,0.5,S1,W29U_11EACAC0A69B433BE5335374
0.5170666343067843,0.02113236860086465,0.9965939366309862,291402,0.0628152417880603,0.75,S1,W29U_11EACAC0A69B433BE5335374
0.3297326564528321,0.01907727275545179,0.9945388407855733,291402,0.08718181065685485,1.0,S1,W29U_11EACAC0A69B433BE5335374
0.0,0.0,0.9906481405035592,291402,0.15370350928541485,0.0,S1,W29U_CDB45AA59812E048F89D1FEF
0.3758447675540713,0.0057058900326524276,0.9963540305362116,291402,0.09593484956541722,0.25,S1,W29U_CDB45AA59812E048F89D1FEF
0.7207098757485263,0.008430123863007233,0.9990782643665664,291402,0.04292787220549034,0.5,S1,W29U_CDB45AA59812E048F89D1FEF
0.7629135801507319,0.008421021758221237,0.9990691622617804,291402,0.03644101473398483,0.75,S1,W29U_CDB45AA59812E048F89D1FEF
0.4808014024219935,0.005639294216509327,0.9962874347200685,291402,0.07980264646332469,1.0,S1,W29U_CDB45AA59812E048F89D1FEF
0.0,0.0,0.9864704873341695,291402,0.15526775034537937,0.0,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.40035712302779664,0.007441299536897983,0.9939117868710675,291402,0.09310520051770475,0.25,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.6539331180510258,0.011439350189552444,0.997909837523722,291402,0.053733026228603264,0.5,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.5990056338122828,0.011654260300417052,0.9981247476345866,291402,0.062261493138539105,0.75,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.3865181852644387,0.008465557753781994,0.9949360450879515,291402,0.09525394125140489,1.0,S1,W29U_D8CFC7B512CCF79D00E3DA72
0.0,0.0,0.9069622533520754,291402,0.3055050501404774,0.0,S1,W29U_0C150BD91825DDE5B26260D3
0.19753349533484035,0.02943414744553785,0.9363964007976132,291402,0.2451575697435857,0.25,S1,W29U_0C150BD91825DDE5B26260D3
0.3814710191204486,0.05439402753746647,0.9613562808895418,291402,0.18896372731656427,0.5,S1,W29U_0C150BD91825DDE5B26260D3
0.5395874015129709,0.07195135499937044,0.9789136083514458,291402,0.14065837398554773,0.75,S1,W29U_0C150BD91825DDE5B26260D3
0.6445845004580206,0.08167666872411472,0.9886389220761901,291402,0.10858123000763067,1.0,S1,W29U_0C150BD91825DDE5B26260D3
0.0,0.0,0.6267650765680687,291402,0.8036526592739958,0.0,S1,W29U_2F5C149851D9AB038AA06566
0.07462113400217688,0.02039423236184512,0.6471593089299138,291402,0.7436831864950305,0.25,S1,W29U_2F5C149851D9AB038AA06566
0.1516371833202594,0.034841583369264906,0.6616066599373336,291402,0.6817890336536993,0.5,S1,W29U_2F5C149851D9AB038AA06566
0.23849631046728706,0.043971557326603516,0.6707366338946722,291402,0.6119844651396855,0.75,S1,W29U_2F5C149851D9AB038AA06566
0.3425385571515065,0.13815632795673505,0.7649214045248037,291402,0.5283706369149674,1.0,S1,W29U_2F5C149851D9AB038AA06566
0.0,0.0,0.8223167703592117,291402,0.46265487138145694,0.0,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
0.25823420576569395,0.06589249375071615,0.8882092641099278,291402,0.3431815581263789,0.25,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
0.5330169931384006,0.12891868453171107,0.9512354548909228,291402,0.21605196297634632,0.5,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
0.3690545179635915,0.03489518137283565,0.8572119517320473,291402,0.2919100008398969,0.75,S1,W29U_A3B6D3BDB73A7B2D4AE044E2
