seed,stratum,route,pass_,joint_coverage,joint_pass_count,medians,thresholds,denominator,autonomous,baseline_eligible,hidden_max_abs,rollout_max_abs
392001,S1,G0,True,1.0,256,"{""M1"": 0.013655739396469382, ""M2"": 0.04169542559292548, ""M3"": 0.016306558198942785, ""M4"": 0.026297283868791904, ""M5"": 0.21542901730183772}","{""M1"": 0.38875516163789126, ""M2"": 0.6530927312234215, ""M3"": 0.28744727060560543, ""M4"": 0.3393832556356259, ""M5"": 20.260185026563704}",256,True,True,,
392001,S1,G1,True,1.0,256,"{""M1"": 0.02507351920135218, ""M2"": 0.0595049877422896, ""M3"": 0.02618974476614403, ""M4"": 0.031393130209726366, ""M5"": 0.5241326986881975}","{""M1"": 0.38875516163789126, ""M2"": 0.6530927312234215, ""M3"": 0.28744727060560543, ""M4"": 0.3393832556356259, ""M5"": 20.260185026563704}",256,True,True,,
392001,S1,G2,True,,,,,256,True,True,0.0,0.0
392001,S2,G0,True,1.0,256,"{""M1"": 0.01915823423079744, ""M2"": 0.08767128481865621, ""M3"": 0.046545619157753924, ""M4"": 0.03911639628227215, ""M5"": 0.8447081693478837}","{""M1"": 0.4669759655361256, ""M2"": 0.6568131957898696, ""M3"": 0.5513987778513324, ""M4"": 0.25616304846974386, ""M5"": 10.47115975990891}",256,True,True,,
392001,S2,G1,True,1.0,256,"{""M1"": 0.02211175265985705, ""M2"": 0.09189295561635719, ""M3"": 0.0440494465074218, ""M4"": 0.04310485364921446, ""M5"": 1.321444441870523}","{""M1"": 0.4669759655361256, ""M2"": 0.6568131957898696, ""M3"": 0.5513987778513324, ""M4"": 0.25616304846974386, ""M5"": 10.47115975990891}",256,True,True,,
392001,S2,G2,True,,,,,256,True,True,0.0,0.0
392002,S1,G0,True,1.0,256,"{""M1"": 0.013361058947146036, ""M2"": 0.03934540877618625, ""M3"": 0.018047537472255702, ""M4"": 0.023176637094444764, ""M5"": 0.38462718526546186}","{""M1"": 0.38875516163789126, ""M2"": 0.6530927312234215, ""M3"": 0.28744727060560543, ""M4"": 0.3393832556356259, ""M5"": 20.260185026563704}",256,True,True,,
392002,S1,G1,True,1.0,256,"{""M1"": 0.02713430122591083, ""M2"": 0.06016478283548346, ""M3"": 0.025641522942500924, ""M4"": 0.02929581125892674, ""M5"": 0.7005992775668047}","{""M1"": 0.38875516163789126, ""M2"": 0.6530927312234215, ""M3"": 0.28744727060560543, ""M4"": 0.3393832556356259, ""M5"": 20.260185026563704}",256,True,True,,
392002,S1,G2,True,,,,,256,True,True,0.0,0.0
392002,S2,G0,True,1.0,256,"{""M1"": 0.01795963006947183, ""M2"": 0.07954746744135929, ""M3"": 0.04180867024478842, ""M4"": 0.03968626567756629, ""M5"": 0.8914102941411725}","{""M1"": 0.4669759655361256, ""M2"": 0.6568131957898696, ""M3"": 0.5513987778513324, ""M4"": 0.25616304846974386, ""M5"": 10.47115975990891}",256,True,True,,
392002,S2,G1,True,1.0,256,"{""M1"": 0.022539905621703025, ""M2"": 0.09328910562832807, ""M3"": 0.04479508808026919, ""M4"": 0.04810807686128883, ""M5"": 1.5829264585857787}","{""M1"": 0.4669759655361256, ""M2"": 0.6568131957898696, ""M3"": 0.5513987778513324, ""M4"": 0.25616304846974386, ""M5"": 10.47115975990891}",256,True,True,,
392002,S2,G2,True,,,,,256,True,True,0.0,0.0
392003,S1,G0,True,1.0,256,"{""M1"": 0.015364402063106165, ""M2"": 0.04442851562848698, ""M3"": 0.02013592443451334, ""M4"": 0.02781890335755076, ""M5"": 0.3205897134056774}","{""M1"": 0.38875516163789126, ""M2"": 0.6530927312234215, ""M3"": 0.28744727060560543, ""M4"": 0.3393832556356259, ""M5"": 20.260185026563704}",256,True,True,,
392003,S1,G1,True,1.0,256,"{""M1"": 0.02213996471059564, ""M2"": 0.05962705025189282, ""M3"": 0.02634382246437661, ""M4"": 0.034280215906918925, ""M5"": 0.6777226277369801}","{""M1"": 0.38875516163789126, ""M2"": 0.6530927312234215, ""M3"": 0.28744727060560543, ""M4"": 0.3393832556356259, ""M5"": 20.260185026563704}",256,True,True,,
392003,S1,G2,True,,,,,256,True,True,0.0,0.0
392003,S2,G0,True,1.0,256,"{""M1"": 0.019475622775959295, ""M2"": 0.08936760056191315, ""M3"": 0.04695658869618151, ""M4"": 0.0409411745774666, ""M5"": 0.8990767555538273}","{""M1"": 0.4669759655361256, ""M2"": 0.6568131957898696, ""M3"": 0.5513987778513324, ""M4"": 0.25616304846974386, ""M5"": 10.47115975990891}",256,True,True,,
392003,S2,G1,True,1.0,256,"{""M1"": 0.024220859839129152, ""M2"": 0.09577164145883366, ""M3"": 0.045343548662066094, ""M4"": 0.04706856948201105, ""M5"": 1.5299788619168173}","{""M1"": 0.4669759655361256, ""M2"": 0.6568131957898696, ""M3"": 0.5513987778513324, ""M4"": 0.25616304846974386, ""M5"": 10.47115975990891}",256,True,True,,
392003,S2,G2,True,,,,,256,True,True,0.0,0.0
