architecture,checkpoint,stratum,assay,supports,capture,recovery,contrast_fraction,positive_unit_fraction,eT_contrast,eF_contrast,evidence_id
structured_GRU,291405,S1,operational_semantic_full,False,0.9376402786320029,1.0335862712021564,0.453125,0.46875,0.122265174882376,0.16981687705185233,E05
structured_GRU,291405,S2,operational_semantic_full,True,0.9515772891912018,0.9071524574602614,1.0,1.0,0.1684556994362143,0.22892856314898496,E05
structured_GRU,291406,S1,operational_semantic_full,True,0.9780308614552481,0.9539034957494279,0.78125,0.78125,0.05645587561422806,0.10004989045664399,E05
structured_GRU,291406,S2,operational_semantic_full,True,0.9619891830986227,0.9327403874046136,1.0,1.0,0.10931901684550727,0.21650762499204745,E05
structured_GRU,291407,S1,operational_semantic_full,True,0.962475584757257,1.0019035091441524,0.9375,0.9375,0.0887243403554372,0.1890767068574003,E05
structured_GRU,291407,S2,operational_semantic_full,True,0.9301208133464829,0.8539406589820586,0.825,0.84375,0.1359377608253035,0.21387680399157083,E05
structured_GRU,291410,S1,operational_semantic_full,True,0.9253434984109568,1.0106391896623343,0.921875,0.90625,0.07001298205999915,0.14889456042698118,E06
structured_GRU,291410,S2,operational_semantic_full,True,0.9482625686946755,0.9306730847612352,1.0,1.0,0.10788260661495017,0.2106021515247848,E06
structured_GRU,291411,S1,operational_semantic_full,True,0.9239517913546927,0.9477663151482937,1.0,1.0,0.0456667165927562,0.13202753654221822,E06
structured_GRU,291411,S2,operational_semantic_full,True,0.9419718449978882,0.9333056140478554,1.0,1.0,0.08817670394495689,0.2069154641205894,E06
structured_GRU,291412,S1,operational_semantic_full,True,0.9448754583719006,0.9728768921972095,0.9375,0.9375,0.06376527119630296,0.1741694811729596,E06
structured_GRU,291412,S2,operational_semantic_full,True,0.906535188417251,0.9098372764393445,1.0,1.0,0.1035801093266793,0.21077271743302906,E06
structured_GRU,291413,S1,operational_semantic_full,True,0.9870352722776544,0.9540025789396598,0.778125,0.78125,0.06206521989140153,0.11342134534472215,E06
structured_GRU,291413,S2,operational_semantic_full,False,0.9767434067329608,0.9645140417620992,0.6875,0.6875,0.1166228937321014,0.16239339620663204,E06
structured_GRU,291415,S1,operational_semantic_full,True,0.9268717711090535,0.7441493408561712,1.0,1.0,0.0978098118337451,0.1509399025061416,E06
structured_GRU,291415,S2,operational_semantic_full,True,0.9310656763521636,0.9579438055878587,0.990625,1.0,0.08502261895720385,0.21446212144116975,E06
structured_GRU,291416,S1,operational_semantic_full,True,0.947047096049623,0.9208678926027696,1.0,1.0,0.07896463044701674,0.14139800034357872,E06
structured_GRU,291416,S2,operational_semantic_full,True,0.949447761712819,0.9670640648628662,1.0,1.0,0.08080015024402651,0.208817610444875,E06
monolithic_LSTM,392001,S1,privileged_transport_core,True,0.9746280297604228,0.9421038124884313,1.0,1.0,0.055505193840337655,0.152732211937428,E19
monolithic_LSTM,392001,S2,privileged_transport_core,True,0.973198838199204,0.9826949839261221,0.95,1.0,0.10837611293950986,0.24385191136962567,E19
monolithic_LSTM,392002,S1,privileged_transport_core,True,0.9360458189487938,0.8940339322856091,1.0,1.0,0.053457346343606785,0.15756267341342584,E19
monolithic_LSTM,392002,S2,privileged_transport_core,True,0.9670667131400709,0.9764930104119878,1.0,1.0,0.09257603463729683,0.213315005984026,E19
monolithic_LSTM,392003,S1,privileged_transport_core,True,0.9966894016209074,0.985735787984352,1.0,1.0,0.06704103855596383,0.13986781393127135,E19
monolithic_LSTM,392003,S2,privileged_transport_core,True,0.9711197358565228,0.9591261188272278,1.0,1.0,0.07438406832201545,0.2419408403887526,E19
